순위,도서명,저자명,출판사,출판년도,ISBN13,주제분류명,대출건수
139,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,"역사 > 역사 > 세계사, 세계문화사",1977
140,고백 :미나토 가나에 장편소설 ,지은이: 미나토 가나에 ;옮긴이: 김선영,비채,2009,9788992036962,문학 > 일본문학 > 소설,1974
141,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,9791191114225,문학 > 한국문학 > 소설,1960
142,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,채사장 지음,Whale Books(웨일북),2020,9791190313186,"총류 > 총류 > 지식, 학문 일반",1959
143,양면의 조개껍데기 :김초엽 소설집 ,지은이: 김초엽,인플루엔셜,2025,9791168343108,문학 > 한국문학 > 소설,1950
144,히든 픽처스 ,제이슨 르쿨락 지음 ;유소영 옮김,문학수첩,2024,9791193790083,문학 > 영미문학 > 소설,1946
145,광인 :이혁진 장편소설 ,지은이: 이혁진,민음사,2023,9788937454677,문학 > 한국문학 > 소설,1925
146,리틀 라이프 :한야 야나기하라 장편소설,지은이: 한야 야나기하라 ;옮긴이: 권진아,시공사,2016,9788952776372,문학 > 영미문학 > 소설,1910
147,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,9788932024639,문학 > 한국문학 > 시,1904
147,원씽 :복잡한 세상을 이기는 단순함의 힘 ,"게리 켈러,구세희 옮김",비즈니스북스,2013,9788997575169,사회과학 > 경제학 > 경영관리,1904
147,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,철학 > 심리학 > 차이심리학,1904
150,탕비실 :이미예 소설 ,지은이: 이미예,오팬하우스,2024,9791198809940,문학 > 한국문학 > 소설,1900
151,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,문학 > 일본문학 > 소설,1899
152,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,9791168340510,문학 > 영미문학 > 소설,1892
153,스토너 :존 윌리엄스 장편소설 ,지은이: 존 윌리엄스 ;옮긴이: 김승욱,RHK(알에이치코리아),2015,9788925554990,문학 > 영미문학 > 소설,1884
154,노랜드 :천선란 소설집 ,지은이: 천선란,한겨레엔,2022,9791160404944,문학 > 한국문학 > 소설,1881
155,H마트에서 울다 ,미셸 자우너 지음 ;정혜윤 옮김,문학동네,2022,9788954683371,문학 > 영미문학 > 르포르타주 및 기타,1879
156,쓰게 될 것 :최진영 소설집 ,지은이: 최진영,안온(안온북스),2024,9791192638379,문학 > 한국문학 > 소설,1868
